data,A,B,C,D
2017-01-21|00:00:02.000,4594.31445,-3.9572,118.09065,46.1918
2017-01-21|00:00:12.000,4658.79785,-3.92315,118.10333,46.48575
2017-01-21|00:00:22.000,4607.63281,-3.94663,118.11504,47.27774
2017-01-21|00:00:32.000,4654.34326,-3.96656,118.11858,47.74771
2017-01-21|00:00:42.000,4708.01318,-4.00121,118.12211,48.62573
2017-01-21|00:00:52.000,4697.66406,-4.03941,118.12564,49.0554
2017-01-21|00:01:02.000,4687.31445,-4.05121,118.12917,49.16808
2017-01-21|00:01:12.000,4676.96533,-4.04826,118.13271,49.28952
2017-01-21|00:01:22.000,4745.43945,-4.04795,118.13624,49.22428
2017-01-21|00:01:32.000,4786.44922,-4.05063,118.13977,48.3652
2017-01-21|00:01:42.000,4804.24365,-4.06901,118.13027,47.93166
2017-01-21|00:01:52.000,4822.03809,-4.08533,118.13167,48.54515
2017-01-21|00:02:02.000,4788.26855,-4.04405,118.17335,49.136
2017-01-21|00:02:12.000,4721.59814,-4.06033,118.18732,49.49594
2017-01-21|00:02:22.000,4778.00488,-4.08148,118.17745,49.31905
2017-01-21|00:02:32.000,4803.81396,-4.07011,118.20027,48.65467
2017-01-21|00:02:42.000,4784.74561,-4.11334,118.1944,48.36483
2017-01-21|00:02:52.000,4765.67773,-4.0806,118.22289,48.3218
2017-01-21|00:03:02.000,4768.4458,-4.09658,118.2335,48.17148
2017-01-21|00:03:12.000,4797.81836,-4.09103,118.2441,48.00735
2017-01-21|00:03:22.000,4806.1333,-4.08237,118.23409,48.01537
2017-01-21|00:03:32.000,4814.44824,-4.07788,118.25171,48.22665
2017-01-21|00:03:42.000,4816.52148,-4.08633,118.26277,48.35436
2017-01-21|00:03:52.000,4804.37939,-4.1004,118.27411,48.05077
2017-01-21|00:04:02.000,4792.2373,-4.07378,118.27444,48.10437
2017-01-21|00:04:12.000,4780.09521,-4.08783,118.30849,48.5011
2017-01-21|00:04:22.000,4779.34375,-4.09038,118.31868,47.35171
2017-01-21|00:04:32.000,4795.33398,-4.04733,118.30723,47.25289
2017-01-21|00:04:42.000,4811.21338,-4.04438,118.30603,48.31767
2017-01-21|00:04:52.000,4804.17334,-4.05202,118.33766,49.2587
2017-01-21|00:05:02.000,4797.1333,-4.09536,118.34214,49.37541
2017-01-21|00:05:12.000,4811.56982,-4.0927,118.33109,49.29331
2017-01-21|00:05:22.000,4840.04492,-4.11041,118.34171,48.91211
2017-01-21|00:05:32.000,4868.21875,-4.08143,118.35233,47.92993
2017-01-21|00:05:42.000,4831.13428,-4.07235,118.37312,48.1502
2017-01-21|00:05:52.000,4794.0498,-4.09586,118.36257,48.70188
2017-01-21|00:06:02.000,4839.17676,-4.1037,118.38561,48.58402
2017-01-21|00:06:12.000,4892.98389,-4.08899,118.40456,47.92754
2017-01-21|00:06:22.000,4838.05469,-4.12569,118.39792,47.29914
2017-01-21|00:06:32.000,4792.45361,-4.09245,118.4197,46.64487
2017-01-21|00:06:42.000,4760.48096,-4.11061,118.37997,46.27311
2017-01-21|00:06:52.000,4728.50879,-4.07045,118.40944,46.04446
2017-01-21|00:07:02.000,4752.96191,-4.06125,118.40652,46.37852
2017-01-21|00:07:12.000,4814.37842,-4.07613,118.43018,47.72766
2017-01-21|00:07:22.000,4777.00195,-4.04358,118.41693,48.91753
2017-01-21|00:07:32.000,4729.14697,-4.0976,118.41011,48.95341
2017-01-21|00:07:42.000,4768.42334,-4.07802,118.42839,48.58423
2017-01-21|00:07:52.000,4841.94385,-4.10093,118.44666,47.84604
2017-01-21|00:08:02.000,4797.54492,-4.08879,118.45617,47.40023
2017-01-21|00:08:12.000,4773.49658,-4.07366,118.44557,47.21152
2017-01-21|00:08:22.000,4762.79639,-4.02344,118.43497,47.05428
2017-01-21|00:08:32.000,4752.0957,-4.06749,118.45656,46.88025
2017-01-21|00:08:42.000,4742.06738,-4.05741,118.464,46.89118
2017-01-21|00:08:52.000,4734.66553,-4.00046,118.46704,48.10924
2017-01-21|00:09:02.000,4727.26318,-4.01691,118.48495,49.04269
2017-01-21|00:09:12.000,4757.64746,-4.02172,118.48238,49.21838
2017-01-21|00:09:22.000,4796.31006,-4.05205,118.47648,49.45458
2017-01-21|00:09:32.000,4826.69434,-4.10722,118.47058,49.57534
2017-01-21|00:09:42.000,4857.0791,-4.06747,118.46468,49.72445
2017-01-21|00:09:52.000,4887.46338,-4.07235,118.45711,49.76981
2017-01-21|00:10:02.000,4856.80176,-4.03071,118.43503,49.57738
2017-01-21|00:10:12.000,4818.83691,-4.05857,118.43954,49.683
2017-01-21|00:10:22.000,4847.07373,-4.10742,118.4469,49.81944
2017-01-21|00:10:32.000,4875.31055,-4.09548,118.45426,49.70871
2017-01-21|00:10:42.000,4880.28857,-4.09091,118.4393,49.55099
2017-01-21|00:10:52.000,4794.06299,-4.09459,118.44785,49.85173
2017-01-21|00:11:02.000,4803.15137,-4.12174,118.4613,49.95058
2017-01-21|00:11:12.000,4883.35254,-4.08418,118.46763,50.04274
2017-01-21|00:11:22.000,4873.20654,-4.06399,118.47395,50.24007
2017-01-21|00:11:32.000,4863.06055,-4.13456,118.48027,50.38108
2017-01-21|00:11:42.000,4899.54199,-4.16156,118.48048,50.23271
