,0
0,4697.66406
1,4687.31445
2,4676.96533
3,4745.43945
4,4786.44922
5,4804.24365
6,4822.03809
7,4788.26855
8,4721.59814
9,4778.00488
10,4803.81396
11,4784.74561
12,4765.67773
13,4768.4458
14,4797.81836
15,4806.1333
16,4814.44824
17,4816.52148
18,4804.37939
19,4792.2373
20,4780.09521
21,4779.34375
22,4795.33398
23,4811.21338
24,4804.17334
25,4797.1333
26,4811.56982
27,4840.04492
28,4868.21875
29,4831.13428
30,4794.0498
31,4839.17676
32,4892.98389
33,4838.05469
34,4792.45361
35,4760.48096
36,4728.50879
37,4752.96191
38,4814.37842
39,4777.00195
40,4729.14697
41,4768.42334
42,4841.94385
43,4797.54492
44,4773.49658
45,4762.79639
46,4752.0957
47,4742.06738
48,4734.66553
49,4727.26318
50,4757.64746
51,4796.31006
52,4826.69434
53,4857.0791
54,4887.46338
55,4856.80176
56,4818.83691
57,4847.07373
58,4875.31055
59,4880.28857
60,4794.06299
61,4803.15137
62,4883.35254
63,4873.20654
64,4863.06055
65,4899.54199
66,4946.26953
67,4910.58057
68,4874.89209
69,4860.36475
70,4929.02295
71,4928.5957
72,4859.82568
73,4855.76904
74,4858.69531
75,4861.62158
76,4864.54834
77,4883.6582
78,4966.54297
79,4959.11621
80,4906.06445
81,4885.34375
82,4864.62305
83,4843.90234
84,4844.43701
85,4869.50586
86,4918.80225
87,4946.97217
88,4926.3125
89,4912.49854
90,4925.74561
91,4938.99268
92,4952.23975
93,4942.03711
94,4926.03418
95,4910.03125
96,4893.99854
97,4858.23633
98,4822.47412
99,4802.97314
100,4898.76367
101,4927.7749
102,4956.78613
103,4938.79053
104,4909.13867
105,4887.33984
106,4867.48926
107,4852.38867
108,4879.51514
109,4901.18506
110,4874.28857
111,4847.39209
112,4820.49512
113,4932.8916
114,4864.41553
115,4790.36621
116,4769.62402
117,4753.84814
118,4757.86084
119,4759.47803
120,4739.65283
121,4719.82764
122,4705.56641
123,4741.15869
124,4760.81006
125,4764.53955
126,4768.26953
127,4790.08203
128,4819.63672
129,4844.97021
130,4853.42676
131,4861.88281
132,4838.16797
133,4807.79443
134,4841.65381
135,4875.51318
136,4845.03711
137,4771.63428
138,4773.30859
139,4783.35303
140,4821.26318
141,4871.13281
142,4877.77002
143,4863.70996
144,4830.33643
145,4800.5918
146,4776.3042
147,4752.0166
148,4797.14795
149,4848.52051
150,4851.07617
151,4857.46582
152,4863.85547
153,4832.87646
154,4785.81348
155,4794.3667
156,4858.7583
157,4846.021
158,4824.6084
159,4827.19775
160,4865.97021
161,4904.74268
162,4871.99512
163,4843.40186
164,4831.9502
165,4821.02734
166,4814.94238
167,4808.85791
168,4802.77295
169,4813.92334
170,4829.42578
171,4844.92822
172,4838.69385
173,4829.99854
174,4821.30371
175,4840.19336
176,4859.13574
177,4872.02148
178,4829.1582
179,4814.74023
180,4843.36475
181,4858.69727
182,4842.6875
183,4826.67773
184,4810.66797
185,4795.62695
186,4780.58789
187,4765.54932
188,4787.03418
189,4833.12256
190,4827.04639
191,4820.83984
192,4814.6333
193,4795.14697
194,4769.89648
195,4753.41064
196,4818.33545
197,4839.09912
198,4792.81445
199,4752.81055
200,4714.40674
201,4676.00342
202,4825.93652
203,4864.15967
204,4849.18311
205,4764.88672
206,4783.53369
207,4799.60791
208,4791.62695
209,4783.646
210,4776.59229
211,4778.21729
212,4779.8418
213,4785.88623
214,4810.01563
215,4834.14502
216,4823.67285
217,4760.49121
218,4757.86523
219,4851.44336
220,4872.3252
221,4893.20752
222,4889.24512
223,4860.03857
224,4830.83154
225,4856.17432
226,4881.74219
227,4900.8833
228,4918.37549
229,4935.86816
230,4918.75244
231,4897.60205
232,4895.59619
233,5012.66797
234,4981.35156
235,4950.03564
236,4981.29541
237,5039.96484
238,5004.59668
239,4968.78467
240,4978.21191
241,5033.75586
242,5020.42969
243,4999.03223
244,4988.1001
245,5002.17773
246,5016.25537
247,5018.50195
248,5008.6748
249,4998.84766
250,5011.66113
251,5047.60059
252,5083.54004
253,5037.71191
254,4991.44043
255,5028.44922
256,5056.69629
257,5040.42334
258,5024.15088
259,5015.8125
260,5026.50146
261,5037.19043
262,5040.14844
263,5035.19385
264,5030.23926
265,5025.28516
266,5044.57324
267,5074.55078
268,5097.97314
269,5058.13916
270,5018.30566
271,5010.48242
272,5002.85889
273,5007.83594
274,5021.43701
275,5035.03809
276,5017.61377
277,4999.98975
278,4982.36572
279,5027.5293
280,5078.52393
281,5027.51123
282,4976.49902
283,5022.04443
284,5056.51611
285,5062.72314
286,5068.92969
287,5057.37207
288,5018.38721
289,4999.88818
290,5030.81982
291,5057.36719
292,5041.10303
293,5024.83887
294,5004.24854
295,4981.74072
296,4969.23486
297,4998.63184
298,5024.28125
299,5047.354
300,5070.42676
301,5041.6123
302,4977.11182
303,5031.93262
304,5072.85449
305,5045.2915
306,5019.71973
307,5002.51953
308,4985.31934
309,4985.38379
310,5027.28906
311,5057.82275
312,5040.49805
313,5023.17285
314,5009.42773
315,5004.36621
316,4999.30469
317,5017.94971
318,5047.15674
319,5023.46875
320,4976.20459
321,4944.04248
322,4975.64014
323,5001.40039
324,4969.20361
325,4923.18848
326,4873.53076
327,4885.74316
328,4909.19775
329,4882.07764
330,4854.95752
331,4901.17432
332,4967.67871
333,4898.52148
334,4879.58887
335,4895.41504
336,4925.98291
337,4956.68604
338,4937.92773
339,4918.71045
340,4924.36865
341,4968.82129
342,4986.11133
343,4937.09424
344,4953.32324
345,4998.79736
346,5018.08545
347,4926.02686
348,4903.35938
349,4889.23389
350,4875.1084
351,4940.38623
352,4944.06738
353,4919.74854
354,4895.4292
355,4896.31885
356,4936.63721
357,4934.15723
358,4912.44873
359,4890.74023
360,4873.58008
361,4857.63086
362,4842.27051
363,4827.17578
364,4819.13965
365,4882.8291
366,4897.87646
367,4862.19434
368,4833.75391
369,4812.86572
370,4791.97705
371,4779.66357
372,4854.80029
373,4863.63916
374,4854.76904
375,4845.89941
376,4850.35107
377,4868.71875
378,4887.08643
379,4885.32178
380,4862.52002
381,4839.71826
382,4853.91895
383,4884.83789
384,4885.49365
385,4865.00635
386,4847.47754
387,4860.38184
388,4873.28613
389,4885.54053
390,4894.99854
391,4904.45654
392,4917.33105
393,4931.75195
394,4903.65967
395,4876.17578
396,4853.48682
397,4830.79785
398,4834.03662
399,4878.1543
400,4888.66357
401,4846.16113
402,4833.44434
403,4894.39941
404,4928.37793
405,4943.43994
406,4940.95166
407,4800.07568
408,4850.36621
409,4852.50293
410,4820.84375
411,4789.18457
412,4801.51221
413,4814.39648
414,4777.65723
415,4740.28467
416,4713.8584
417,4801.87109
418,4799.53369
419,4785.70947
420,4771.88525
421,4774.50928
422,4781.58301
423,4788.65625
424,4791.22314
425,4746.43701
426,4701.65088
427,4714.83154
428,4739.52051
429,4781.22363
430,4808.16309
431,4798.37061
432,4788.57813
433,4778.78613
434,4788.17773
435,4811.09521
436,4834.01221
437,4836.87207
438,4752.12793
439,4743.38721
440,4797.69873
441,4809.02686
442,4820.35498
443,4831.68311
444,4814.17383
445,4766.17822
446,4767.02881
447,4774.16504
448,4781.30078
449,4801.07129
450,4821.02344
451,4840.97607
452,4803.59131
453,4765.375
454,4806.81641
455,4858.54834
456,4816.11865
457,4762.59326
458,4807.47119
459,4773.72412
460,4738.81152
461,4736.28125
462,4768.09473
463,4792.32129
464,4814.47266
465,4821.86133
466,4792.2334
467,4768.93359
468,4750.12354
469,4713.04443
470,4656.55811
471,4600.07129
472,4625.41309
473,4613.59863
474,4591.24951
475,4568.90039
476,4564.27344
477,4588.00391
478,4605.88281
479,4614.39551
480,4622.90771
481,4631.42041
482,4647.69336
483,4669.48828
484,4686.3916
485,4650.09424
486,4621.84277
487,4606.48779
488,4591.13232
489,4586.32617
490,4628.30225
491,4640.88086
492,4622.10547
493,4603.33008
494,4591.86035
495,4612.8335
496,4631.61182
497,4626.36768
498,4621.12354
499,4615.87988
500,4602.06787
501,4584.29004
502,4566.51221
503,4574.78809
504,4624.96582
505,4667.34326
506,4697.1709
507,4712.26416
508,4720.52588
509,4728.7876
510,4737.04883
511,4719.85889
512,4699.2998
513,4678.74023
514,4665.16504
515,4651.71143
516,4638.2583
517,4619.03809
518,4595.68945
519,4578.77832
520,4590.66455
521,4602.55078
522,4614.4375
523,4534.77686
524,4454.57227
525,4426.52979
526,4451
527,4505.67822
528,4493.91064
529,4482.14258
530,4458.4834
531,4431.51318
532,4404.54346
533,4414.46875
534,4447.3667
535,4437.84082
536,4428.31494
537,4418.78857
538,4458.83936
539,4499.80371
540,4497.25342
541,4448.13721
542,4506.75049
543,4571.00146
544,4698.71094
545,4712.33496
546,4694.06152
547,4675.7876
548,4671.13379
549,4681.15234
550,4702.8584
551,4737.15918
552,4771.45996
553,4724.91455
554,4685.02686
555,4666.12842
556,4647.23047
557,4641.34668
558,4668.76367
559,4696.18066
560,4683.7666
561,4665.96729
562,4619.68604
563,4565.40869
564,4558.52588
565,4571.52344
566,4557.70068
567,4543.87793
568,4530.05566
569,4540.53271
570,4557.84424
571,4575.15527
572,4582.85498
573,4574.8916
574,4566.92822
575,4540.6709
576,4494.61182
577,4448.55322
578,4463.15039
579,4514.55371
580,4547.65479
581,4579.50244
582,4608.12305
583,4636.74414
584,4648.29883
585,4655.03467
586,4661.77051
587,4657.57031
588,4635.49561
589,4613.4209
590,4638.354
591,4669.72754
592,4642.99121
593,4599.80811
594,4608.59814
595,4632.10791
596,4655.61768
597,4630.76709
598,4599.27197
599,4567.77686
600,4604.25342
601,4630.90869
602,4652.23438
603,4673.56055
604,4658.7334
605,4560.87891
606,4585.13672
607,4609.39502
608,4632.58105
609,4655.74414
610,4678.90674
611,4718.27637
612,4762.25391
613,4751.60986
614,4715.08447
615,4689.36963
616,4713.44189
617,4719.09326
618,4704.65234
619,4690.21191
620,4697.04346
621,4727.08691
622,4754.31543
623,4748.31494
624,4742.31445
625,4736.31348
626,4723.20557
627,4698.39697
628,4673.58838
629,4772.73584
630,4789.97168
631,4804.9458
632,4819.91943
633,4789.63623
634,4743.4585
635,4764.39844
636,4785.33838
637,4769.84424
638,4714.4668
639,4703.86328
640,4742.29199
641,4776.0708
642,4804.75439
643,4833.43799
644,4786.00244
645,4686.02002
646,4729.61475
647,4764.22607
648,4792.25146
649,4808.57422
650,4684.21826
651,4703.34912
652,4746.42041
653,4708.94238
654,4673.29785
655,4659.75732
656,4646.2168
657,4698.87549
658,4783.19092
659,4698.32813
660,4647.35303
661,4716.70996
662,4691.62695
663,4666.54395
664,4679.44775
665,4734.13574
666,4748.37988
667,4718.12012
668,4687.86035
669,4709.86084
670,4716.93213
671,4681.44824
672,4645.96436
673,4652.87549
674,4711.52734
675,4682.55371
676,4653.58057
677,4632.75
678,4650.14795
679,4667.5459
680,4665.05273
681,4610.25195
682,4566.22852
683,4527.38525
684,4494.62939
685,4490.51172
686,4486.39404
687,4498.72363
688,4518.96484
689,4539.20605
690,4548.02637
691,4537.81299
692,4527.59961
693,4517.38623
694,4525.60254
695,4534.29346
696,4542.98438
697,4553.02441
698,4566.62598
699,4580.22754
700,4519.35645
701,4450.81494
702,4556.20557
703,4542.41357
704,4511.51709
705,4495.37402
706,4503.88281
707,4512.3916
708,4520.90039
709,4523.93652
710,4526.82764
711,4497.94971
712,4464.49658
713,4475.88818
714,4493.73926
715,4511.59033
716,4579.57422
717,4648.90137
718,4627.85156
719,4593.74854
720,4573.86572
721,4558.1416
722,4542.41748
723,4526.69336
724,4551.80469
725,4578.02295
726,4601.07617
727,4620.60986
728,4640.14355
729,4632.13867
730,4550.90771
731,4539.00732
732,4578.72949
733,4594.97314
734,4585.06787
735,4575.93408
736,4568.09717
737,4560.26074
738,4602.23193
739,4651.45508
740,4708.83984
741,4761.3335
742,4720.96777
743,4680.60205
744,4676.09717
745,4758.43164
746,4727.68652
747,4696.94141
748,4676.6665
