,0
0,-4.03941
1,-4.05121
2,-4.04826
3,-4.04795
4,-4.05063
5,-4.06901
6,-4.08533
7,-4.04405
8,-4.06033
9,-4.08148
10,-4.07011
11,-4.11334
12,-4.0806
13,-4.09658
14,-4.09103
15,-4.08237
16,-4.07788
17,-4.08633
18,-4.1004
19,-4.07378
20,-4.08783
21,-4.09038
22,-4.04733
23,-4.04438
24,-4.05202
25,-4.09536
26,-4.0927
27,-4.11041
28,-4.08143
29,-4.07235
30,-4.09586
31,-4.1037
32,-4.08899
33,-4.12569
34,-4.09245
35,-4.11061
36,-4.07045
37,-4.06125
38,-4.07613
39,-4.04358
40,-4.0976
41,-4.07802
42,-4.10093
43,-4.08879
44,-4.07366
45,-4.02344
46,-4.06749
47,-4.05741
48,-4.00046
49,-4.01691
50,-4.02172
51,-4.05205
52,-4.10722
53,-4.06747
54,-4.07235
55,-4.03071
56,-4.05857
57,-4.10742
58,-4.09548
59,-4.09091
60,-4.09459
61,-4.12174
62,-4.08418
63,-4.06399
64,-4.13456
65,-4.16156
66,-4.13095
67,-4.15364
68,-4.13571
69,-4.17508
70,-4.16282
71,-4.18584
72,-4.16345
73,-4.14077
74,-4.14446
75,-4.13775
76,-4.1308
77,-4.1813
78,-4.16305
79,-4.1182
80,-4.13756
81,-4.08308
82,-4.11772
83,-4.11478
84,-4.18128
85,-4.15993
86,-4.11066
87,-4.11791
88,-4.15107
89,-4.16718
90,-4.1291
91,-4.13117
92,-4.16946
93,-4.15894
94,-4.14126
95,-4.15301
96,-4.13238
97,-4.12428
98,-4.13487
99,-4.13099
100,-4.14117
101,-4.10524
102,-4.13192
103,-4.1177
104,-4.13881
105,-4.10742
106,-4.11142
107,-4.1076
108,-4.14129
109,-4.12918
110,-4.1236
111,-4.1168
112,-4.08076
113,-4.13099
114,-4.12189
115,-4.07058
116,-4.05718
117,-4.03101
118,-4.03307
119,-4.01353
120,-3.98186
121,-4.0191
122,-3.96936
123,-4.02496
124,-4.02112
125,-4.02784
126,-4.02469
127,-4.0135
128,-4.03701
129,-4.06611
130,-4.02358
131,-4.07143
132,-4.06136
133,-4.06723
134,-4.07283
135,-4.03701
136,-4.06389
137,-4.08295
138,-4.02695
139,-4.06389
140,-4.09999
141,-4.09049
142,-4.0863
143,-4.04374
144,-4.04703
145,-4.05966
146,-4.0706
147,-4.06829
148,-4.05874
149,-4.06581
150,-4.09399
