,0
0,49.0554
1,49.16808
2,49.28952
3,49.22428
4,48.3652
5,47.93166
6,48.54515
7,49.136
8,49.49594
9,49.31905
10,48.65467
11,48.36483
12,48.3218
13,48.17148
14,48.00735
15,48.01537
16,48.22665
17,48.35436
18,48.05077
19,48.10437
20,48.5011
21,47.35171
22,47.25289
23,48.31767
24,49.2587
25,49.37541
26,49.29331
27,48.91211
28,47.92993
29,48.1502
30,48.70188
31,48.58402
32,47.92754
33,47.29914
34,46.64487
35,46.27311
36,46.04446
37,46.37852
38,47.72766
39,48.91753
40,48.95341
41,48.58423
42,47.84604
43,47.40023
44,47.21152
45,47.05428
46,46.88025
47,46.89118
48,48.10924
49,49.04269
50,49.21838
51,49.45458
52,49.57534
53,49.72445
54,49.76981
55,49.57738
56,49.683
57,49.81944
58,49.70871
59,49.55099
60,49.85173
61,49.95058
62,50.04274
63,50.24007
64,50.38108
65,50.23271
66,50.07862
67,49.56592
68,49.79113
69,50.10162
70,49.63522
71,48.95783
72,48.44976
73,48.27362
74,48.98654
75,49.8742
76,49.89817
77,49.87682
78,49.63302
79,47.94785
80,47.91558
81,48.3961
82,48.80492
83,48.85818
84,49.5299
85,49.60412
86,49.58199
87,49.47216
88,49.00261
89,48.94311
90,49.07342
91,48.74113
92,48.90667
93,49.30519
94,49.45045
95,49.45857
96,49.45745
97,49.38255
98,49.49658
99,49.56226
100,49.6498
101,49.62471
102,49.4206
103,48.83621
104,48.70586
105,49.18229
106,49.32651
107,48.86845
108,48.1509
109,47.51174
110,47.15547
111,47.48107
112,48.78415
113,46.70202
114,46.08014
115,46.16351
116,46.19535
117,45.75165
118,45.44562
119,45.47477
120,46.71557
121,47.31895
122,47.56043
123,48.41687
124,48.81996
125,48.98772
126,49.101
127,48.40662
128,48.27937
129,48.93291
130,49.2562
131,49.35034
132,49.15092
133,48.6462
134,48.29319
135,48.27592
136,48.17394
137,48.06723
138,48.03516
139,47.93614
140,47.77454
141,47.6066
142,47.59634
143,47.58609
144,47.57582
145,47.55386
146,47.49419
147,47.71167
148,48.46799
149,48.84191
150,49.0041
151,49.09742
152,49.23414
153,49.36039
154,49.45045
155,49.50134
156,49.39778
157,48.5286
158,48.89657
159,49.26979
160,49.45798
161,48.90248
162,48.23494
163,47.69545
164,47.54427
165,48.37579
166,49.33169
167,49.38519
168,49.47802
169,49.17943
170,47.73517
171,47.36314
172,47.90922
173,48.35459
174,48.08427
175,47.51693
176,47.27673
177,47.39992
178,48.58781
179,49.19199
180,49.24501
181,49.34103
182,49.17172
183,48.68372
184,47.41247
185,47.95405
186,48.44618
187,48.38449
188,47.68276
189,47.12397
190,46.90193
191,46.84458
192,47.48771
193,48.50996
194,46.55546
195,46.07439
196,45.88959
197,45.90852
198,46.14347
199,45.86469
200,45.68848
201,46.47516
202,47.5843
203,47.90965
204,48.6041
205,48.84655
206,48.96286
207,48.90974
208,48.21229
209,47.83435
210,48.40836
211,48.88743
212,48.78595
213,48.24236
214,47.99219
215,47.93884
216,48.88684
217,49.2108
218,49.33913
219,49.54919
220,49.8113
221,49.97683
222,50.01445
223,50.06221
224,50.15024
225,50.23486
226,50.28679
227,50.32563
228,50.44073
229,50.61494
230,50.77534
231,50.96811
232,50.93253
233,50.94905
234,51.01037
235,51.08688
236,51.12115
237,51.07961
238,51.03391
239,51.01208
240,51.02237
241,51.07898
242,51.13559
243,51.19771
244,51.26359
245,51.35746
246,51.42438
247,51.3732
248,51.31269
249,51.30489
250,51.28334
251,51.30391
252,51.25872
253,51.21062
254,51.10293
255,51.08609
256,51.1263
257,51.11359
258,50.85421
259,50.61509
260,50.77485
261,50.69639
262,50.62602
263,50.57615
264,50.55613
265,50.59551
266,50.63166
267,50.70862
268,50.80627
269,50.78957
270,50.77286
271,50.75615
272,50.73945
273,50.72274
274,50.65035
275,50.61105
276,50.55869
277,50.47876
278,50.52261
279,50.61651
280,50.5879
281,50.30212
282,50.25646
283,50.28921
284,50.22642
285,50.15498
286,50.13711
287,50.14593
288,50.19019
289,50.26019
290,50.23217
291,50.1857
292,50.12024
293,50.13794
294,50.09206
295,50.03304
296,49.92872
297,49.78127
298,49.14016
299,48.65516
300,48.37289
301,48.26466
302,49.28949
303,49.41162
304,49.42819
305,49.50828
306,49.51933
307,49.49511
308,49.0882
309,49.01008
310,49.36864
311,49.32248
312,49.23941
313,48.7895
314,48.50707
315,48.25278
316,48.44178
317,48.48467
318,48.14336
319,47.91064
320,47.69115
321,47.36329
322,46.91899
323,46.96049
324,47.97436
325,48.32224
326,48.44481
327,48.61032
328,48.7924
329,48.977
330,49.03701
331,49.08375
332,49.12796
333,49.17218
334,49.2164
335,49.26387
336,49.34018
